"Source:"	"C:\Users\gordo\OneDrive\Documents\GitHub\Z80Processor_Tester\hardware\v02\z80 Processor.sch"
"Date:"	"04/08/2021 18:39:27"
"Tool:"	"Eeschema (5.1.10)-1"
"Component Count:"	"44"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"C1"	"100uf"	"Device:CP"	"Capacitor_THT:CP_Radial_D4.0mm_P2.00mm"	"Polarized capacitor"	""
"D1"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D2"	"12V"	"Device:D_Schottky"	"Diode_THT:D_DO-15_P10.16mm_Horizontal"	"Schottky diode"	""
"D3"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D4"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D5"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D6"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D7"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D8"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D9"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D10"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D11"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D12"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D13"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D14"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D15"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D16"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D17"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"D18"	"LED"	"Device:LED"	"LED_THT:LED_D1.8mm_W3.3mm_H2.4mm"	"Light emitting diode"	""
"J1"	"Conn_PIC_ICSP_ICD"	"Connector:Conn_PIC_ICSP_ICD"	"Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical"	"Microchip PIC In-Circuit Serial Programming/Debugging (ICSP/ICD) connector"	""
"J2"	"Barrel_Jack"	"Connector:Barrel_Jack"	"Connector_BarrelJack:BarrelJack_Horizontal"	"DC Barrel Jack"	""
"R1"	"10K"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"R4"	"150"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"R5"	"10k"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"R16"	"150"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
"R17"	"150"	"Device:R"	"Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"	"Resistor"	""
